_id;gml_id;aasqa;date_maj;partition_field;etat;lib_zone;lib_pol;date_ech;date_dif;code_zone;code_pol
65dff4f91c41b960f8a839e8;7685246;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;PM10;27/02/2024;26/02/2024;2002;5
65dff4f91c41b960f8a839e9;7685268;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;SO2;28/02/2024;27/02/2024;2002;1
65dff4f91c41b960f8a839ea;7685286;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;PM2.5;28/02/2024;27/02/2024;2002;6001
65dff4f91c41b960f8a839eb;7685309;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;PM10;28/02/2024;27/02/2024;2002;5
65dff4f91c41b960f8a839ec;7685356;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;O3;28/02/2024;27/02/2024;2002;7
65dff4f91c41b960f8a839ed;7685366;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;NO2;28/02/2024;27/02/2024;2002;8
65dff4f91c41b960f8a839ee;7685380;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;O3;29/02/2024;28/02/2024;2002;7
65dff4f91c41b960f8a839ef;7685418;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;NO2;29/02/2024;28/02/2024;2002;8
65dff4f91c41b960f8a839f0;7685455;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;PM10;29/02/2024;28/02/2024;2002;5
65dff4f91c41b960f8a839f1;7685478;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;PM2.5;29/02/2024;27/02/2024;2002;6001
65dff4f91c41b960f8a839f2;7685495;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;O3;29/02/2024;27/02/2024;2002;7
65dff4f91c41b960f8a839f3;7685514;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;SO2;29/02/2024;27/02/2024;2002;1
65dff4f91c41b960f8a839f4;7685516;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;SO2;29/02/2024;28/02/2024;2002;1
65dff4f91c41b960f8a839f5;7685525;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;PM10;29/02/2024;27/02/2024;2002;5
65dff4f91c41b960f8a839f6;7685533;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;NO2;29/02/2024;27/02/2024;2002;8
65dff4f91c41b960f8a839f7;7685562;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;PM2.5;29/02/2024;28/02/2024;2002;6001
65dff4f91c41b960f8a839f8;7685587;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;SO2;01/03/2024;29/02/2024;2002;1
65dff4f91c41b960f8a839f9;7685588;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;PM2.5;01/03/2024;29/02/2024;2002;6001
65dff4f91c41b960f8a839fa;7685643;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;NO2;01/03/2024;29/02/2024;2002;8
65dff4f91c41b960f8a839fb;7685665;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;PM10;01/03/2024;29/02/2024;2002;5
65dff4f91c41b960f8a839fc;7685679;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Stéphanois;O3;01/03/2024;29/02/2024;2002;7
65dff5141c41b960f8a839fd;7685164;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;NO2;27/02/2024;26/02/2024;2003;8
65dff5141c41b960f8a839fe;7685198;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;PM2.5;27/02/2024;26/02/2024;2003;6001
65dff5141c41b960f8a839ff;7685230;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;O3;27/02/2024;26/02/2024;2003;7
65dff5141c41b960f8a83a00;7685240;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;SO2;27/02/2024;26/02/2024;2003;1
65dff5141c41b960f8a83a01;7685260;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;PM10;27/02/2024;26/02/2024;2003;5
65dff5141c41b960f8a83a02;7685288;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;PM2.5;28/02/2024;27/02/2024;2003;6001
65dff5141c41b960f8a83a03;7685289;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;NO2;28/02/2024;27/02/2024;2003;8
65dff5141c41b960f8a83a04;7685305;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;O3;28/02/2024;27/02/2024;2003;7
65dff5141c41b960f8a83a05;7685330;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;SO2;28/02/2024;27/02/2024;2003;1
65dff5141c41b960f8a83a06;7685368;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;PM10;28/02/2024;27/02/2024;2003;5
65dff5141c41b960f8a83a07;7685391;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;NO2;29/02/2024;28/02/2024;2003;8
65dff5141c41b960f8a83a08;7685400;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;NO2;29/02/2024;27/02/2024;2003;8
65dff5141c41b960f8a83a09;7685424;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;PM10;29/02/2024;27/02/2024;2003;5
65dff5141c41b960f8a83a0a;7685425;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;PM10;29/02/2024;28/02/2024;2003;5
65dff5141c41b960f8a83a0b;7685444;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;O3;29/02/2024;28/02/2024;2003;7
65dff5141c41b960f8a83a0c;7685446;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;PM2.5;29/02/2024;27/02/2024;2003;6001
65dff5141c41b960f8a83a0d;7685451;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;O3;29/02/2024;27/02/2024;2003;7
65dff5141c41b960f8a83a0e;7685483;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;PM2.5;29/02/2024;28/02/2024;2003;6001
65dff5141c41b960f8a83a0f;7685496;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;SO2;29/02/2024;28/02/2024;2003;1
65dff5141c41b960f8a83a10;7685572;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;SO2;29/02/2024;27/02/2024;2003;1
65dff5141c41b960f8a83a11;7685597;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;NO2;01/03/2024;29/02/2024;2003;8
